,metric,industry,value
2023-01-01,Compliance Actions,forestry,19
2023-01-01,Employees Employed in Violation,forestry,833
2023-01-01,Employees Receiving Back Wages,forestry,784
2023-01-01,Back Wages,forestry,1490542.95
2023-01-01,Civil Money Penalties Assessed,forestry,642160.4
2022-01-01,Compliance Actions,forestry,14
2022-01-01,Employees Employed in Violation,forestry,68
2022-01-01,Employees Receiving Back Wages,forestry,67
2022-01-01,Back Wages,forestry,70178.34
2022-01-01,Civil Money Penalties Assessed,forestry,69179.8
2021-01-01,Compliance Actions,forestry,24
2021-01-01,Employees Employed in Violation,forestry,172
2021-01-01,Employees Receiving Back Wages,forestry,141
2021-01-01,Back Wages,forestry,131125.44
2021-01-01,Civil Money Penalties Assessed,forestry,204575.99
2020-01-01,Compliance Actions,forestry,35
2020-01-01,Employees Employed in Violation,forestry,918
2020-01-01,Employees Receiving Back Wages,forestry,590
2020-01-01,Back Wages,forestry,399621.13
2020-01-01,Civil Money Penalties Assessed,forestry,54739.71
2019-01-01,Compliance Actions,forestry,51
2019-01-01,Employees Employed in Violation,forestry,1130
2019-01-01,Employees Receiving Back Wages,forestry,624
2019-01-01,Back Wages,forestry,741217.12
2019-01-01,Civil Money Penalties Assessed,forestry,380326.94
2018-01-01,Compliance Actions,forestry,36
2018-01-01,Employees Employed in Violation,forestry,311
2018-01-01,Employees Receiving Back Wages,forestry,185
2018-01-01,Back Wages,forestry,140022.33
2018-01-01,Civil Money Penalties Assessed,forestry,175004.63
2017-01-01,Compliance Actions,forestry,55
2017-01-01,Employees Employed in Violation,forestry,541
2017-01-01,Employees Receiving Back Wages,forestry,489
2017-01-01,Back Wages,forestry,689919.8
2017-01-01,Civil Money Penalties Assessed,forestry,189544.9
2016-01-01,Compliance Actions,forestry,45
2016-01-01,Employees Employed in Violation,forestry,483
2016-01-01,Employees Receiving Back Wages,forestry,446
2016-01-01,Back Wages,forestry,1011373.98
2016-01-01,Civil Money Penalties Assessed,forestry,31250
2015-01-01,Compliance Actions,forestry,61
2015-01-01,Employees Employed in Violation,forestry,1217
2015-01-01,Employees Receiving Back Wages,forestry,993
2015-01-01,Back Wages,forestry,851031.06
2015-01-01,Civil Money Penalties Assessed,forestry,847650.25
2014-01-01,Compliance Actions,forestry,61
2014-01-01,Employees Employed in Violation,forestry,674
2014-01-01,Employees Receiving Back Wages,forestry,554
2014-01-01,Back Wages,forestry,517696.85
2014-01-01,Civil Money Penalties Assessed,forestry,106788.18
2013-01-01,Compliance Actions,forestry,52
2013-01-01,Employees Employed in Violation,forestry,368
2013-01-01,Employees Receiving Back Wages,forestry,295
2013-01-01,Back Wages,forestry,622024
2013-01-01,Civil Money Penalties Assessed,forestry,65697
2023-01-01,Compliance Actions,amusement,173
2023-01-01,Employees Employed in Violation,amusement,1065
2023-01-01,Employees Receiving Back Wages,amusement,573
2023-01-01,Back Wages,amusement,267237.96
2023-01-01,Civil Money Penalties Assessed,amusement,766339.61
2022-01-01,Compliance Actions,amusement,182
2022-01-01,Employees Employed in Violation,amusement,929
2022-01-01,Employees Receiving Back Wages,amusement,665
2022-01-01,Back Wages,amusement,420903.6
2022-01-01,Civil Money Penalties Assessed,amusement,331938.03
2021-01-01,Compliance Actions,amusement,287
2021-01-01,Employees Employed in Violation,amusement,1612
2021-01-01,Employees Receiving Back Wages,amusement,1063
2021-01-01,Back Wages,amusement,1208258.6
2021-01-01,Civil Money Penalties Assessed,amusement,506868.28
2020-01-01,Compliance Actions,amusement,230
2020-01-01,Employees Employed in Violation,amusement,1970
2020-01-01,Employees Receiving Back Wages,amusement,1431
2020-01-01,Back Wages,amusement,729848.78
2020-01-01,Civil Money Penalties Assessed,amusement,415087.76
2019-01-01,Compliance Actions,amusement,214
2019-01-01,Employees Employed in Violation,amusement,18126
2019-01-01,Employees Receiving Back Wages,amusement,17531
2019-01-01,Back Wages,amusement,1421508.78
2019-01-01,Civil Money Penalties Assessed,amusement,691614.55
2018-01-01,Compliance Actions,amusement,261
2018-01-01,Employees Employed in Violation,amusement,2368
2018-01-01,Employees Receiving Back Wages,amusement,1823
2018-01-01,Back Wages,amusement,1057295.43
2018-01-01,Civil Money Penalties Assessed,amusement,155469.4
2017-01-01,Compliance Actions,amusement,214
2017-01-01,Employees Employed in Violation,amusement,2241
2017-01-01,Employees Receiving Back Wages,amusement,2038
2017-01-01,Back Wages,amusement,924267.22
2017-01-01,Civil Money Penalties Assessed,amusement,113501.37
2016-01-01,Compliance Actions,amusement,206
2016-01-01,Employees Employed in Violation,amusement,1332
2016-01-01,Employees Receiving Back Wages,amusement,967
2016-01-01,Back Wages,amusement,602061.16
2016-01-01,Civil Money Penalties Assessed,amusement,254355.5
2015-01-01,Compliance Actions,amusement,278
2015-01-01,Employees Employed in Violation,amusement,3758
2015-01-01,Employees Receiving Back Wages,amusement,3286
2015-01-01,Back Wages,amusement,1319407.64
2015-01-01,Civil Money Penalties Assessed,amusement,124472.5
2014-01-01,Compliance Actions,amusement,373
2014-01-01,Employees Employed in Violation,amusement,2717
2014-01-01,Employees Receiving Back Wages,amusement,2378
2014-01-01,Back Wages,amusement,1313545.96
2014-01-01,Civil Money Penalties Assessed,amusement,214132.95
2013-01-01,Compliance Actions,amusement,342
2013-01-01,Employees Employed in Violation,amusement,2431
2013-01-01,Employees Receiving Back Wages,amusement,2260
2013-01-01,Back Wages,amusement,1784903.51
2013-01-01,Civil Money Penalties Assessed,amusement,83088
2023-01-01,Compliance Actions,construction,2134
2023-01-01,Employees Employed in Violation,construction,21811
2023-01-01,Employees Receiving Back Wages,construction,17944
2023-01-01,Back Wages,construction,35558597.63
2023-01-01,Civil Money Penalties Assessed,construction,1784916.11
2022-01-01,Compliance Actions,construction,2268
